question,segment_type,segment_description,answer,count,percentage
What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,None,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
What social platform has influenced your online shopping most?,University,Virginia Tech,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Virginia Tech,None,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Syracuse University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Syracuse University,None,2,0.667
What social platform has influenced your online shopping most?,University,Cypress Creek High School,Facebook,0,0.0
